Problem No.,Title,Q,Hints,Related URL,Why
1,Number of datasets currently listed on data.gov,1,,,
2,The name of the most recently added dataset on data.gov,1,,,
3,The number of people who visited a U.S. government website using Internet Explorer 6.0 in the last 90 days,2,,,
4,The number of librarian-related job positions that the federal government is currently hiring for,,,,
5,The name of the company cited in the most recent consumer complaint involving student loans,2,,,
6,"From 2010 to 2013, the change in median cost of health, dental, and vision coverage for California city employees",,,,
7,The number of listed federal executive agency internet domains,2,,,
8,"The number of times when a New York heart surgeon's rate of patient deaths for all cardiac surgical procedures was ""significantly higher"" than the statewide rate, according to New York state's analysis.",,,,This dataset illuminates the ways in which statistics is used to predict and deterimine a compleicated rating. And why does only New York do this?
9,"The number of roll call votes that were rejected by a margin of less than 5 votes, in the first session of the U.S. Senate in the 114th Congress",,,,
10,The title of the highest paid California city government position in 2010,,,,
11,"How much did the state of California collect in property taxes, according to the U.S. Census 2013 Annual Survey of State Government Tax Collections?",,,[The Census of Governments Has Your Number](https://source.opennews.org/en-US/learning/census-governments-has-your-number/),
12,"In 2010, the year-over-year change in enplanements at America's busiest airport",,,,
13,The number of armored carrier bank robberies recorded by the FBI in 2014,,,,
14,The number of workplace fatalities at reported to the federal and state OSHA in the latest fiscal year,2,,,
15,Total number of wildlife strike incidents reported at San Francisco International Airport,,,,
16,"The non-profit organization with the highest total revenue, according to the latest listing in ProPublica's Nonprofit Explorer",2,,,
17,"In the ""Justice News"" RSS feed maintained by the Justice Department, the number of items published on a Friday",,The list of all Justice Dept. news feeds is here: http://www.justice.gov/doj/news-feeds,,
18,"The number of U.S. congressmembers who have Twitter accounts, according to Sunlight Foundation data",,,,
19,The total number of preliminary reports on aircraft safety incidents/accidents in the last 10 business days,,,,
20,The number of OSHA enforcement inspections involving Wal-Mart in California since 2014,,,,
21,The current humidity level at Great Smoky Mountains National Park,1,,,
22,The names of the committees that Sen. Barbara Boxer currently serves on,2,,,
23,"The name of the California school with the highest number of girls enrolled in kindergarten, according to the CA Dept. of Education's latest enrollment data file.",,,,
24,Percentage of NYPD stop-and-frisk reports in which the suspect was white in 2014,,,,
25,Average frontal crash star rating for 2015 Honda Accords,,"Note that the rating value isn't defined as a literal text value (e.g. ""4""), but you can extract it from the name of certain files used to indicate the star ratings",,
26,"The dropout rate for all of Santa Clara County high schools, according to the latest cohort data in CALPADS",,The data file contains many rows relating to Santa Clara County. Be sure you pick the one that aggregates all of Santa Clara County students; the size of the cohort should be in the tens of thousands of students.,,
27,The number of Class I Drug Recalls issued by the U.S. Food and Drug Administration since 2012,2,,,
28,Total number of clinical trials as recorded by the National Institutes of Health,1,,,
29,Number of days until Texas's next scheduled execution,,,,
30,The total number of inmates executed by Florida since 1976,2,,,
31,The number of proposed U.S. federal regulations in which comments are due within the next 3 days,2,,,
32,Number of Titles that have changed int he United States Code since its last release point,,,,
